TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Haría,35010,Hombres,M,Tiempo completo,FT,2014 Segundo trimestre,2014-Q2,650,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2014 Segundo trimestre,2014-Q2,421,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2014 Tercer trimestre,2014-Q3,665,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2014 Tercer trimestre,2014-Q3,422,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2014 Cuarto trimestre,2014-Q4,658,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2014 Cuarto trimestre,2014-Q4,439,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2015 Primer trimestre,2015-Q1,662,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2015 Primer trimestre,2015-Q1,419,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2015 Segundo trimestre,2015-Q2,665,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2015 Segundo trimestre,2015-Q2,432,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2015 Tercer trimestre,2015-Q3,660,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2015 Tercer trimestre,2015-Q3,450,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2015 Cuarto trimestre,2015-Q4,671,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2015 Cuarto trimestre,2015-Q4,456,,,
Haría,35010,Hombres,M,Tiempo completo,FT,2016 Primer trimestre,2016-Q1,660,,,
Haría,35010,Mujeres,F,Tiempo completo,FT,2016 Primer trimestre,2016-Q1,455,,,
